Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
"Merge two sorted arrays n, m + n",1200,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Dec 27, 2020",,,,"Dec 27, 2020 7:41 PM","Given two arrays of size n and m + n (contains only m elements). Merge them into one without any extra space. ","Mar 01, 2021 3:43 PM",
Puzzle 9 | (Find the fastest 3 horses) - GeeksforGeeks,,ok,,,,,https://www.geeksforgeeks.org/puzzle-9-find-the-fastest-3-horses/,,,"Dec 28, 2020 8:47 AM",,"Jan 07, 2021 11:25 PM",
Stack using Queue and Queue using stack,,waiting,,,,,,,,"Dec 28, 2020 11:02 PM",,"May 20, 2021 9:56 AM",
Water Overflow | Practice | Geeksforgeeks,,waiting,,,,,https://practice.geeksforgeeks.org/problems/champagne-overflow/0,,,"Dec 28, 2020 11:05 PM",,"Feb 18, 2021 7:45 AM",
Probability for falling of the edge,,waiting,,,,,,,,"Dec 28, 2020 11:06 PM",,"May 20, 2021 9:56 AM",
implement selection and projection operation for a file using grep,,waiting,,,,,,,,"Dec 28, 2020 11:25 PM",,"May 20, 2021 9:56 AM",
Triplets with maximum sum of all middles,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",goldman sachs,,,,,,"Dec 29, 2020 9:35 AM",Given an array of 3n size. Divide it in triplets such that the sum of all middle elements of each triplet is maximum. Condition: Every triplet will have elements in increasing order only.,"May 11, 2021 9:04 AM",
B. Last minute enhancements,800,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 05, 2021",https://codeforces.com/contest/1466/problem/B,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Maximum%20distinct%20elements%20by%20increment%20and%20decreme%2067b002bc28e244948588a50256bcc2cc.md,"Dec 29, 2020 10:01 PM",,"May 11, 2021 9:04 AM",
E. Apollo versus Pan,,waiting,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,,,https://codeforces.com/contest/1466/problem/E,,,"Dec 29, 2020 10:20 PM",,"May 11, 2021 9:12 AM",
Valid Sudoku - LeetCode,,waiting,,,,,https://leetcode.com/problems/valid-sudoku/,,,"Dec 30, 2020 4:50 PM",,"May 20, 2021 9:56 AM",
Find the number of monotonic triplets,1500,ok,https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3,,1,"Jan 08, 2021",,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Find%20the%20number%20of%20inversions%20in%20a%20given%20array%206234ecea1659454299cb512a4460bb31.md,,"Dec 31, 2020 6:11 PM",Given an array of numbers find the number of triplets such that Ai<Aj<Ak or Ai>Aj>Ak for all (i<j<k). | (O(n^2) or O(n log(n)).,"May 11, 2021 9:00 AM",
Word Break - LeetCode,1500,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",O(n^2),,"Jan 07, 2021",https://leetcode.com/problems/word-break/,,,"Dec 31, 2020 7:38 PM",,"May 11, 2021 9:01 AM",
Hunger Games,1600,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3","new, swiggy",1,"Dec 31, 2020",,,,"Jan 01, 2021 10:09 AM",,"Mar 01, 2021 3:43 PM",
Food delivery to tech park,1800,waiting,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",swiggy,2,"Jan 01, 2021",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Cherry%20Pickup%20-%20LeetCode%20a73c725479264cd2a914d52d1a898d4b.md,"Jan 01, 2021 10:23 AM",,"Mar 01, 2021 8:47 AM",
Cherry Pickup - LeetCode,2100,waiting,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",new,1,"Jan 01, 2021",https://leetcode.com/problems/cherry-pickup/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Food%20delivery%20to%20tech%20park%209a4169968d2d4e1bb1e2badb2f1d70cb.md,,"Jan 01, 2021 3:45 PM",,"Mar 01, 2021 8:47 AM",
Ways to Split Array Into Three Subarrays - Leetcode,1500,done,https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74,O(n^2),2,"Jan 06, 2021",https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/,,,"Jan 02, 2021 3:39 PM",,"Mar 01, 2021 8:38 AM",
Is Subsequence - LeetCode,800,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/String-31fee88325084b2db1f8d82cce81360c, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Jan 06, 2021",https://leetcode.com/problems/is-subsequence/,,,"Jan 02, 2021 3:44 PM",,"Mar 01, 2021 3:43 PM",
Minimum Operations to Make a Subsequence - Leetcode,2000,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",,2,"Jan 02, 2021",https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Longest%20Increasing%20Subsequence%203cbb4d81cd434847ad5b568bd5304b5e.md,,"Jan 02, 2021 3:47 PM",,"Mar 01, 2021 8:48 AM",
Shortest Path in a Grid with k Obstacles Elimination - Leetcode,2000,done,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,"de shaw, new",,"Jan 04, 2021",https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Find%20minimum%20moves%20in%20a%20matrix%20387df2d5cc9c4b8ba4c9a4d20095f7d5.md,"Jan 04, 2021 8:59 AM",,"May 11, 2021 8:59 AM",
Lexicographical Numbers - LeetCode,1600,done,"https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",,,"Jan 19, 2021",https://leetcode.com/problems/lexicographical-numbers/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Stepping%20Numbers%20-%20GeeksforGeeks%2055ff57ad440546f2922abbc43bf4d64a.md,"Jan 04, 2021 7:09 PM",,"Mar 01, 2021 8:48 AM",
Amazon online assessment,,waiting,,,,,,,,"Jan 04, 2021 9:11 PM",,"May 20, 2021 9:56 AM",
Global and Local Inversions - LeetCode,,ok,,amazon,,,https://leetcode.com/problems/global-and-local-inversions/,,,"Jan 05, 2021 12:12 AM",,"Jan 07, 2021 11:46 PM",
Numbers With Repeated Digits - LeetCode,,waiting,,,,,https://leetcode.com/problems/numbers-with-repeated-digits/,,,"Jan 05, 2021 10:37 AM",,"May 20, 2021 9:56 AM",
Sort Items by Groups Respecting Dependencies - Leetcode,,waiting,,,,,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/,,,"Jan 05, 2021 10:38 AM",,"May 20, 2021 9:56 AM",
Maximum distinct elements by increment and decrement,1200,ok,https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242,"own, unverified",1,"Jan 07, 2021",,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/B%20Last%20minute%20enhancements%20429e201a32e9487992f63f16989f2330.md,,"Jan 05, 2021 4:12 PM",,"Feb 22, 2021 9:22 PM",
Minimum Number of Taps to Open to Water a Garden - LeetCode,1800,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",,,,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Video%20Stitching%20-%20Leetcode%205cb996b015aa4962a4c544fcef454657.md,,"Jan 07, 2021 8:20 AM",,"May 11, 2021 9:01 AM",
Video Stitching - Leetcode,1500,waiting,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01","hard, interval",3,"Jan 07, 2021",https://leetcode.com/problems/video-stitching/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Activity%20Selection%20Problem%20b98e4f278b8745d182d05ec2bebc05ef.md,"Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Cover%20Maximum%20Range%20%5Bintervals%5D%20f50df802ae1941e9a46c4a98fd59162f.md, Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20Number%20of%20Taps%20to%20Open%20to%20Water%20a%20Garden%20-%20a34578fbb4b44e1f918a492706c8b7a6.md","Jan 07, 2021 8:24 AM",,"Mar 04, 2021 8:12 AM",
Cover Maximum Range [intervals],1500,waiting,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01",,,,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Video%20Stitching%20-%20Leetcode%205cb996b015aa4962a4c544fcef454657.md,,"Jan 07, 2021 8:38 AM",,"Mar 04, 2021 8:12 AM",
Largest Rectangle in Histogram - LeetCode,1800,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Stack-67154e5bf7324feab7a8a732f028898b",standard,,,https://leetcode.com/problems/largest-rectangle-in-histogram/,,,"Jan 07, 2021 1:37 PM",,"May 11, 2021 8:58 AM",
Minimum Adjacent Swaps for K Consecutive Ones - LeetCode,2000,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Sliding-Window-57edd445fc8d49ac98bcd1076bcdd3aa",,,"Jan 07, 2021",https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20distance%20to%20travel%20for%20all%20to%20meet%20in%201D%20a34b0991298444349a7548d5f9587383.md,,"Jan 07, 2021 2:03 PM",,"May 11, 2021 9:00 AM",
Minimum distance to travel for all to meet in 1D,1500,done,https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242,,,"Jan 07, 2021",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20Adjacent%20Swaps%20for%20K%20Consecutive%20Ones%20-%20Le%2013df42e6e5484eab82e450bf991640a6.md,"Jan 07, 2021 4:01 PM",,"Feb 22, 2021 9:22 PM",
Airplane Seat Shuffling | binarysearch,1500,ok,,annoying,,"Jan 07, 2021",https://binarysearch.com/problems/Airplane-Seat-Shuffling,,,"Jan 07, 2021 8:28 PM",,"Feb 14, 2021 4:48 PM",
Find the number of inversions in a given array,1900,ok,https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3,own,1,"Jan 07, 2021",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Find%20the%20number%20of%20monotonic%20triplets%20bb51474ee1de47b5a6761db5afc6b563.md,"Jan 07, 2021 11:35 PM",,"May 11, 2021 9:00 AM",
Swiggy Interview I,,waiting,,,,,,,,"Jan 08, 2021 11:14 AM",,"May 20, 2021 9:56 AM",
Square root of a number,800,done,,,,"Jan 08, 2021",,,,"Jan 08, 2021 11:29 AM",,"Jan 08, 2021 11:31 AM",
Job Assignment Problem [Find minimum time to finish all jobs],2000,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5",np hard,2,"Jan 09, 2021",https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/,,,"Jan 09, 2021 9:31 AM",,"May 11, 2021 9:05 AM",
Minimize Hamming Distance After Swap Operations - LeetCode,1600,done,https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a,,3,"Jan 09, 2021",https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/,,,"Jan 09, 2021 9:38 AM",,"Mar 01, 2021 8:43 AM",
Swapping Nodes in a Linked List - Leetcode,1000,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 09, 2021",https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,,,"Jan 09, 2021 9:51 AM",,"May 11, 2021 9:04 AM",
Min operations to reduce number to 1 - Leetcode Discuss,1600,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb","google, new",,"Jan 09, 2021",https://leetcode.com/discuss/interview-question/538568/google-onsite-min-operations-to-reduce-number-to-1,,,"Jan 09, 2021 11:53 AM",,"May 11, 2021 9:01 AM",
Count Derangements,1600,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",amazon,,"Feb 11, 2021",,,,"Jan 09, 2021 1:18 PM",,"May 11, 2021 9:01 AM",
Minimum Cost to Merge Stones - LeetCode,,waiting,,,,,https://leetcode.com/problems/minimum-cost-to-merge-stones/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Burst%20Balloons%20-%20LeetCode%20753bae99c5404e4db8340b8b797a8388.md,,"Jan 10, 2021 8:47 AM",,"May 20, 2021 9:56 AM",
Burst Balloons - LeetCode,2000,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",O(n^3),1,"Jan 12, 2021",https://leetcode.com/problems/burst-balloons/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20Cost%20to%20Merge%20Stones%20-%20LeetCode%204b145a50da1c42e5b981de623f1baae4.md,"Jan 10, 2021 8:49 AM",,"Mar 01, 2021 8:48 AM",
Complexity of Checking Happy Number,,waiting,,,,,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Check%20if%20a%20number%20is%20happy%2033a3549d89ce49b69f803b78738751c8.md,,"Jan 10, 2021 1:54 PM",,"May 20, 2021 9:56 AM",
Check if a number is happy,1200,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Hashing-dc1f706a2c0b4b5eb6ee200a3ab1ae98, https://www.notion.so/Slow-Pointer-ce6e427e91d34fb5999dc3b1532303f6",,,"Jan 10, 2021",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Complexity%20of%20Checking%20Happy%20Number%209ef4fed516874b6eb86ef7889d007f00.md,"Jan 10, 2021 1:54 PM",,"May 11, 2021 9:05 AM",
Maximal Commonality,1000,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Hashing-dc1f706a2c0b4b5eb6ee200a3ab1ae98",,,"Jan 11, 2021",,,,"Jan 11, 2021 10:37 PM",,"May 11, 2021 8:58 AM",
Huffmann Coding,1900,waiting,https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242,,,,,,,"Jan 11, 2021 10:56 PM",,"May 20, 2021 9:55 AM",
Word Search,1500,done,https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a,,,"Jan 13, 2021",leetcode.com/problems/word-search,,"Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Word%20Search%20II%205992ad02621b424c9092f3e9d26d7e43.md, Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Word%20Search%20III%2028f3cdb3e6b34189beb8ee5784b33ecd.md","Jan 12, 2021 8:53 PM",,"Mar 01, 2021 8:43 AM",
Word Search III,1600,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5",,,"Jan 13, 2021",,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Word%20Search%20cf164f2e5a734d9a8134eae2d127b04c.md,,"Jan 12, 2021 8:53 PM","Given a word and a matrix? Return the list of all indices where the word occurs in the matrix. You cannot reuse a cell for a single word. ","May 11, 2021 9:05 AM",
Jump Game II - LeetCode,2000,done,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,,,"Jan 17, 2021",https://leetcode.com/problems/jump-game-ii/,,,"Jan 13, 2021 7:00 PM",,"May 11, 2021 8:59 AM",
D - Snuke Prime,1600,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01",,3,,https://atcoder.jp/contests/abc188/tasks/abc188_d,,,"Jan 14, 2021 9:00 AM",,"Mar 04, 2021 8:12 AM",
DE Shaw Code Pair Round,,waiting,,de shaw,,,,,,"Jan 14, 2021 8:17 PM",,"May 20, 2021 9:56 AM",
Sort colors in stacks,,waiting,,own,,,,,,"Jan 14, 2021 9:27 PM",,"May 20, 2021 9:56 AM",
E - Peddler,,waiting,,,,,https://atcoder.jp/contests/abc188/tasks/abc188_e,,,"Jan 14, 2021 9:53 PM",,"May 23, 2021 8:53 AM",
F - +1-1x2,,waiting,,,,,https://atcoder.jp/contests/abc188/tasks/abc188_f,,,"Jan 14, 2021 9:54 PM",,"May 20, 2021 9:56 AM",
BST [getting the kth smallest element],2000,waiting,https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3,,,,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Kth%20Smallest%20Element%20in%20a%20BST%20-%20LeetCode%2048715518ea7946aaad7afe4a249f0188.md,,"Jan 14, 2021 10:55 PM",,"May 20, 2021 9:55 AM",
Find Median from Data Stream - LeetCode,1800,ok,https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242,,,"Jan 14, 2021",https://leetcode.com/problems/find-median-from-data-stream/,,,"Jan 14, 2021 11:47 PM",,"Feb 22, 2021 9:22 PM",
Sliding Window Median - LeetCode,,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Sliding-Window-57edd445fc8d49ac98bcd1076bcdd3aa",,,,https://leetcode.com/problems/sliding-window-median/,,,"Jan 14, 2021 11:52 PM",,"May 23, 2021 8:53 AM",
Amazon | Telephonic Round | SDE - 2 - LeetCode Discuss,1500,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Jan 17, 2021",https://leetcode.com/discuss/interview-question/1017012/amazon-telephonic-round-sde-2,,,"Jan 14, 2021 11:53 PM","Given an even number (greater than 2), return two prime numbers whose sum will be equal to given number. There are several combinations possible. Print only first such pair.","Mar 01, 2021 3:43 PM",
Subarray with maximum xor,2000,waiting,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",own,,,,,,"Jan 15, 2021 9:51 AM",,"May 20, 2021 9:55 AM",
Bit Logic,1600,waiting,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",alphagrep,1,,,,,"Jan 15, 2021 12:26 PM",,"May 11, 2021 9:12 AM",
XOR Range Queries | binarysearch,1000,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,,,https://binarysearch.com/problems/XOR-Range-Queries,,,"Jan 15, 2021 12:36 PM",,"May 11, 2021 9:12 AM",
Number of 1 Bits - LeetCode,,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,,"Jan 31, 2021",https://leetcode.com/problems/number-of-1-bits/,,,"Jan 15, 2021 2:47 PM",,"May 11, 2021 9:12 AM",
Find a Value of a Mysterious Function Closest to Target - LeetCode,2000,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",new,1,"Jan 15, 2021",https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target/,,,"Jan 15, 2021 3:50 PM",,"May 11, 2021 9:12 AM",
Furthest Building You Can Reach - LeetCode,1700,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",new,2,,https://leetcode.com/problems/furthest-building-you-can-reach/,,,"Jan 15, 2021 5:38 PM",,"Mar 01, 2021 3:42 PM",
Number of Ways to Wear Different Hats to Each Other - LeetCode,,waiting,,,,,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other/,,,"Jan 15, 2021 7:23 PM",,"May 20, 2021 9:56 AM",
Rocketship Rescue | binarysearch,1300,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Jan 15, 2021",https://binarysearch.com/problems/Rocketship-Rescue,,,"Jan 15, 2021 9:28 PM",,"Mar 01, 2021 3:43 PM",
Minimum Height Trees - LeetCode,1800,done,https://www.notion.so/Simulation-fdb95da9832b433d97b5f169424cf147,new,2,"Jan 15, 2021",https://leetcode.com/problems/minimum-height-trees/,,,"Jan 15, 2021 9:46 PM",,"May 11, 2021 9:09 AM",
Maximum Sum Subarray,1000,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 15, 2021",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Maximum%20Product%20Subarray%2041cce226138f48dd8eec60b3a0b9b198.md,"Jan 15, 2021 9:57 PM",,"May 11, 2021 9:04 AM",
Remove Interval Overlaps | binarysearch,1000,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 17, 2021",https://binarysearch.com/problems/Remove-Interval-Overlaps,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Activity%20Selection%20Problem%20b98e4f278b8745d182d05ec2bebc05ef.md,,"Jan 15, 2021 10:03 PM",,"May 11, 2021 9:04 AM",
Largest Submatrix With Rearrangements - LeetCode,1700,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Cumulative-73b8950eb0ab42228e72265c36aec690, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",new,3,"Jan 10, 2021",https://leetcode.com/problems/largest-submatrix-with-rearrangements/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Largest%20One%20Submatrix%20with%20Column%20Swaps%20binarysear%205e7965432f094672bf82ec385ade3689.md,"Jan 16, 2021 9:34 AM",,"Mar 01, 2021 8:47 AM",
Max Area of Island - LeetCode,,waiting,,,,,https://leetcode.com/problems/max-area-of-island/,,,"Jan 16, 2021 9:49 AM",,"May 20, 2021 9:56 AM",
Kth User to Visit Website | binarysearch,,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,,https://binarysearch.com/problems/Kth-User-to-Visit-Website,,,"Jan 16, 2021 1:36 PM",,"May 11, 2021 9:04 AM",
Print Cycles in an undirected graph,1800,waiting,,own,,,,,,"Jan 16, 2021 3:20 PM",,"May 20, 2021 9:55 AM",
Bridges in a graph - GeeksforGeeks,,waiting,,,,,https://www.geeksforgeeks.org/bridge-in-a-graph/,,,"Jan 16, 2021 3:34 PM",,"May 20, 2021 9:56 AM",
Stepping Numbers - GeeksforGeeks,1600,done,"https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9",amazon,3,"Jan 20, 2021",https://www.geeksforgeeks.org/stepping-numbers/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Lexicographical%20Numbers%20-%20LeetCode%205199ab31a1cb456aa592e5d7cb8549e3.md,,"Jan 16, 2021 4:01 PM",,"Apr 08, 2021 8:12 AM",
Jump Game III - LeetCode,,waiting,,,,,https://leetcode.com/problems/jump-game-iii/,,,"Jan 17, 2021 9:25 AM",,"May 20, 2021 9:56 AM",
Permutations II - LeetCode,,waiting,,,,,https://leetcode.com/problems/permutations-ii/,,,"Jan 17, 2021 9:25 AM",,"May 20, 2021 9:56 AM",
Most Profit Assigning Work - LeetCode,,waiting,,,,,https://leetcode.com/problems/most-profit-assigning-work/,,,"Jan 19, 2021 9:44 AM",,"May 20, 2021 9:56 AM",
Microsoft Interview (round 1) - Alien Dictionary - LeetCode Discuss,,waiting,,,,,https://leetcode.com/discuss/interview-question/248131/microsoft-interview-round-1-alien-dictionary,,,"Jan 19, 2021 5:20 PM",,"May 20, 2021 9:56 AM",
Best Sum Any tree path,1500,done,"https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",,1,"Jan 23, 2021",,,,"Jan 23, 2021 2:29 PM",,"Mar 01, 2021 8:48 AM",
Reduce the string by removing K consecutive identical characters - GeeksforGeeks,,waiting,,goldman sachs,,,https://www.geeksforgeeks.org/reduce-the-string-by-removing-k-consecutive-identical-characters/,,,"Jan 24, 2021 8:09 AM",,"May 20, 2021 9:56 AM",
LRU Cache Implementation,1500,ok,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Hashing-dc1f706a2c0b4b5eb6ee200a3ab1ae98",,,"Jan 24, 2021",,,,"Jan 24, 2021 6:50 PM",,"May 11, 2021 8:58 AM",
