Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
Hop Cost,1700,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",jumping,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Successive Subtraction,1700,waiting,https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
"Consecutive
  Numbers Sum",1800,waiting,,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Reverse Nodes in k-Group ,2000,waiting,,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Minimum Spanning Tree,2000,waiting,https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3,"kruskal, mst",,,,,,"Dec 01, 2020 11:55 PM", ,"May 20, 2021 9:55 AM",
Knapsack,1700,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,,,,,"Dec 01, 2020 11:55 PM","find combination such that their sum is between ceil(w/2) and w is the sum of elements in the array. ","May 20, 2021 9:55 AM",
Wildcard Matching,2000,waiting,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Folia,1900,waiting,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Peak Heights,1700,waiting,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,shortest path,,,,,,"Dec 01, 2020 11:55 PM","length
  of shortest path from nearest zero","May 20, 2021 9:55 AM",
Number of ways to form a Target String Given a Dictionary,2000,waiting,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Best Team with no Conflicts,1700,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",O(n^2),,,,,,"Dec 01, 2020 11:55 PM",Like longest increasing subsequence,"May 20, 2021 9:55 AM",
Unique string Split,1650,waiting,,,,,,,,"Dec 01, 2020 11:55 PM","#partitions (s = a + b + c) such that a + b, b + c, and c + a are all distinct","May 20, 2021 9:55 AM",
Bandit in a City,2000,waiting,https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a,"game, remember",,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
K Maximum Non-overlapping Sums,1800,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee","remember, subarray",,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Catching Cheaters,1800,waiting,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,,,,,,,"Dec 01, 2020 11:55 PM","find the minimum similarity score among all the substrings, score(c,d) = 4 * lcs(c,d) - c - d","May 20, 2021 9:55 AM",
One Stroke Path,1700,waiting,,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Transformable Teacher,,waiting,,,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:56 AM",
Count Complete Tree Nodes,1500,ok,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Jan 30, 2021",https://leetcode.com/problems/count-complete-tree-nodes/,,,"Dec 01, 2020 11:55 PM",Given a binary tree find the number of nodes in it?,"May 11, 2021 9:11 AM",
Binary Tree Zigzag Level Order Traversal ,1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Jan 29, 2021",,,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:11 AM",
Recover Binary Search Tree,2000,waiting,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,1,,https://leetcode.com/problems/recover-binary-search-tree/,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Binary Tree Inorder Traversal [Iteration],1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,standard,,"Dec 20, 2020",,,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:11 AM",
Binary Tree Level Order Traversal ,1500,ok,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Jan 29, 2021",,,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:11 AM",
Suffix problem,2000,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Segment-Tree-44c358c781f5413b906dfd28e43f6b8e","segment tree, trie",,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Word Ladder ,1500,done,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,,1,"Feb 25, 2021",https://leetcode.com/problems/word-ladder/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20Genetic%20Mutation%20-%20LeetCode%20b8a37c4ccc6e4a4296b30cbaa0213cc3.md,"Dec 01, 2020 11:55 PM",,"May 11, 2021 8:59 AM",
Evaluate Division,1500,ok,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,,,,,,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 8:59 AM",https://www.notion.so/23-April-21-330de5282c834e0d8c72305913aa9a52
Divisible Numbers,1700,waiting,https://www.notion.so/Inclusion-exclusion-principle-d66fa95cfe6948caa61a4792ceea43ad,inclusion-exclusion principle,,,,,,"Dec 01, 2020 11:55 PM",,"May 20, 2021 9:55 AM",
Maximize Distance to Closest Person,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,,,,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:04 AM",
Maximum Product Subarray,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 15, 2021",,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Maximum%20Sum%20Subarray%200909dcbaaf4a4f6690d10dcf46771e20.md,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:04 AM",
Word Search II,2000,done,https://www.notion.so/Trie-f7bb6e4b7ce240149ca68fdbf408a727,,,"Dec 01, 2020",https://leetcode.com/problems/word-search-ii/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Word%20Search%20cf164f2e5a734d9a8134eae2d127b04c.md,,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:06 AM",
Validate Binary Search Tree ,1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,1,"Dec 27, 2020",,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Count%20the%20Number%20of%20Binary%20Search%20Trees%20present%20in%20537f1545528a49469e86ec421698a027.md,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:11 AM",
Lowest Common Ancestor of a Binary Tree ,1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Jan 27, 2021",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Lowest%20Common%20Ancestor%20of%20a%20General%20Tree%202e592b3739b5492892b46a706cda6b72.md,"Dec 01, 2020 11:55 PM",,"May 11, 2021 9:11 AM",
Regular Expression Matching,2000,waiting,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,simple dp,,,,,,"Dec 01, 2020 11:55 PM",simple regex matching,"May 23, 2021 8:53 AM",
3 Points Different Semi Circles,1000,done,https://www.notion.so/Probability-ab40acf93bd848578d3792035d39e887,,,"Nov 20, 2020",,,,"Dec 07, 2020 7:10 PM",Find the probability that three points are chosen on a circle lies on the same semi-circle?,"May 11, 2021 9:08 AM",
Monty Hall Problem,1700,ok,https://www.notion.so/Probability-ab40acf93bd848578d3792035d39e887,,,"Dec 07, 2020",,,,"Dec 07, 2020 7:11 PM",[Monty Hall Problem] N doors. Only one of them contains a car and all others contain goat. You choose one of the door. Monty will open all remaining doors except one. Would you still stick with the one you chose earlier?,"May 11, 2021 9:08 AM",
Probability for real roots,1000,done,https://www.notion.so/Probability-ab40acf93bd848578d3792035d39e887,,,"Dec 07, 2020",,,,"Dec 07, 2020 7:37 PM","Both a and b are random variables chosen in interval [0, 1] uniformly. what is the probability $x^2 + ax + b = 0$ has real roots?","May 11, 2021 9:08 AM",
Maximize score rolling dice game,1500,ok,,"interview, mathisys",,"Dec 07, 2020",,,,"Dec 07, 2020 7:58 PM","You play a dice game. You have to maximize the score. First time you can roll a dice, you can stick with the score on the dice or you can go for second round and the score will be the one appearing on the second round. What is the best strategy to maximize the expected score?","May 19, 2021 10:00 PM",
Non zero currency cycle,1500,done,https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a,mathisys,,"Dec 08, 2020",,,,"Dec 08, 2020 5:25 PM",,"Mar 30, 2021 7:19 PM",
