Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Sieve of Eratosthenes - GeeksforGeeks,1600,de shaw,done,,"Dec 18, 2020",,https://www.notion.so/Sieve-of-Eratosthenes-in-0-n-time-complexity-GeeksforGeeks-fc6cd41328db4ba486bd06895ef941cf,https://www.geeksforgeeks.org/sieve-of-eratosthenes/,"Dec 18, 2020 12:31 PM","Apr 08, 2021 8:12 AM",,,../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md
Sieve of Eratosthenes in 0(n) time complexity - GeeksforGeeks,,,waiting,,,https://www.notion.so/Sieve-of-Eratosthenes-GeeksforGeeks-c4fa828f26d748bd8af24fde1bdcfb42,,https://www.geeksforgeeks.org/sieve-eratosthenes-0n-time-complexity/,"Dec 18, 2020 12:33 PM","May 23, 2021 8:53 AM",,,
Convert all 0 → 1's,1800,de shaw,waiting,2,,,,,"Dec 18, 2020 12:53 PM","Mar 01, 2021 8:46 AM","Given 2 arrays, array A (containing only 0s and 1s) and the other cost array B of the same size. We needed to convert all the elements of array A to 1 in minimum cost. For every ith element in the array A, converting from 0 to 1 requires B[i] cost but if A[i-1] and A[i+1] are 1 then A[i] can be converted to 1 with 0 cost. Return the minimum possible cost to convert all 0s to 1s. I thought for around 12-13 mins but simply could not come up any optimal approach. Than i made up a BFS solution over all indexes (brute force approach) and to my surprise i passed 9/13 test cases.",,../Dp%2071e29475df134130a63445f5437e90ee.md
Subarrays with K Different Integers - LeetCode,1800,monotonic,done,,"Dec 18, 2020",,,https://leetcode.com/problems/subarrays-with-k-different-integers/,"Dec 18, 2020 3:51 PM","Mar 01, 2021 3:43 PM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md"
Longest Substring with At Most K Distinct Characters - LeetCode,,unverified,ok,,"Dec 18, 2020",,,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,"Dec 18, 2020 4:40 PM","May 11, 2021 9:00 AM","Given a string, find the length of the longest substring which contains atmost K distinct characters?",,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Longest Common Subsequence - LeetCode,1200,,done,,"Dec 18, 2020",,https://www.notion.so/LCS-Longest-Common-Subsequence-of-three-strings-GeeksforGeeks-cbd7da601f8943c4baaa4e12e0f6df28,https://leetcode.com/problems/longest-common-subsequence/,"Dec 18, 2020 7:01 PM","Mar 01, 2021 8:46 AM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../String%2031fee88325084b2db1f8d82cce81360c.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Number of Matching Subsequences - LeetCode,1500,subsequences,done,,"Dec 18, 2020",,,https://leetcode.com/problems/number-of-matching-subsequences/,"Dec 18, 2020 8:13 PM","May 11, 2021 8:58 AM",,,"../Matrix%204e063cbec5124ef1af380e9e5daf8ffb.md, ../Hashing%20dc1f706a2c0b4b5eb6ee200a3ab1ae98.md"
BST → complete BST,,de shaw,ok,,,https://www.notion.so/Construct-Complete-Binary-tree-a9b86104dd9d4ef498ae66ade11b620f,,,"Dec 18, 2020 9:43 PM","May 11, 2021 9:11 AM",,,../Binary%20Tree%202b7ef3f8a3684c2c8790ae61ff7ddaea.md
Activity Selection Problem,1500,"de shaw, standard",ok,1,"Dec 18, 2020",,"https://www.notion.so/Minimum-Number-of-Arrows-to-Burst-Balloons-91093d276b474230a2c9984ed9939327, https://www.notion.so/Video-Stitching-Leetcode-5cb996b015aa4962a4c544fcef454657, https://www.notion.so/Remove-Interval-Overlaps-binarysearch-41f76b1430c94254b13badf18ea8da0b, https://www.notion.so/Partition-Labels-Leetcode-3c0b164a082e4c2a92af739735bf3531",https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1/,"Dec 18, 2020 10:56 PM","Mar 04, 2021 8:12 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Intervals%20ebd124f2083d4f999c01b25e664d9e01.md"
Last Stone Weight II - LeetCode,1500,"goldman sachs, new, puzzle",done,1,"Dec 19, 2020",,https://www.notion.so/Last-Stone-Weight-III-Leetcode-discuss-e8024262bedf426e9a2866534b7fcf51,https://leetcode.com/problems/last-stone-weight-ii/,"Dec 19, 2020 11:45 AM","May 11, 2021 9:10 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Dp%2071e29475df134130a63445f5437e90ee.md, ../Knapsack%20e1ea6dfd10d74218b7477511a6be96f8.md"
